CLASS,CAPTION
657,Accounting
354,Administration of economy & environment
22,Administration of physical plant
374,Adult education
659,Advertising & public relations
496,African languages
896,African literatures
492,Afro-Asiatic languages; Semitic languages
892,Afro-Asiatic literatures; Semitic literatures
630,Agriculture
630,Agriculture & related technologies
358,Air & other specialized forces
512,Algebra
965,Algeria
494,"Altaic, Uralic, Hyperborean & Dravidian"
894,"Altaic, Uralic, Hyperborean & Dravidian"
812,American drama in English
814,American essays in English
813,American fiction in English
817,American humor & satire in English
816,American letters in English
810,American literature in English
810,American literature in English
818,American miscellaneous writings
811,American poetry in English
815,American speeches in English
169,Analogy
515,Analysis
543,Analytical chemistry
180,"Ancient, medieval & eastern philosophy"
180,"Ancient, medieval & eastern philosophy"
283,Anglican churches
636,Animal husbandry
590,Animals (Zoology)
590,Animals (Zoology)
229,Apocrypha & pseudepigrapha
239,Apologetics & polemics
621,Applied physics
158,Applied psychology
797,Aquatic & air sports
953,Arabian Peninsula & adjacent areas
721,Architectural structure
720,Architecture
720,Architecture
724,Architecture from 1400
723,Architecture from ca. 300 to 1399
722,Architecture to ca. 300
998,Arctic islands & Antarctica
711,Area planning
982,Argentina
168,Argument & persuasion
185,Aristotelian philosophy
513,Arithmetic
739,Art metalwork
595,Arthropods
700,Arts
700,Arts & recreation
366,Associations
267,Associations for religious work
60,"Associations, organizations & museums"
520,Astronomy
520,Astronomy & allied sciences
796,Athletic & outdoor sports & games
997,Atlantic Ocean islands
912,"Atlases, maps, charts & plans"
994,Australia
499,Austronesian & other languages
899,Austronesian & other literatures
692,Auxiliary construction practices
286,"Baptist, Disciples of Christ & Adventist"
143,Bergsonism & intuitionism
663,Beverage technology
220,Bible
10,Bibliographies
11,Bibliographies
14,Bibliographies of anonymous & pseudonymous works
12,Bibliographies of individuals
15,Bibliographies of works from specific places
16,Bibliographies of works on specific subjects
10,Bibliography
572,Biochemistry
920,Biography & genealogy
920,"Biography, genealogy & insignia"
598,Birds
92,Block books
984,Bolivia
95,Books notable for bindings
99,Books notable for format
96,Books notable for illustrations
97,Books notable for ownership or origin
981,Brazil
941,British Isles
588,Bryophytes
690,Building & construction
691,Building materials
690,Buildings
727,Buildings for education & research
726,Buildings for religious purposes
971,Canada
736,Carving & carvings
18,"Catalogs arranged by author, date, etc."
122,Causation
521,Celestial mechanics
527,Celestial navigation
967,Central Africa & offshore islands
958,Central Asia
943,Central Europe; Germany
666,Ceramic & allied technologies
738,Ceramic arts
116,Change
660,Chemical engineering
660,Chemical engineering
540,Chemistry
540,Chemistry & allied sciences
649,Child rearing & home care of persons
983,Chile
951,China & adjacent areas
931,China to 420
596,Chordates
280,Christian denominations
280,Christian denominations & sects
241,Christian ethics
248,"Christian experience, practice & life"
240,Christian moral & devotional theology
249,Christian observances in family life
250,Christian orders & local church
260,"Christian organization, social work & worship"
250,Christian pastoral practice & religious orders
240,Christian practice & observance
230,Christianity & Christian theology
230,Christianity & Christian theology
764,Chromolithography & serigraphy
529,Chronology
247,Church furnishings & articles
710,Civic & landscape art
323,Civil & political rights
624,Civil engineering
347,Civil procedure & courts
480,Classical & modern Greek languages
880,Classical & modern Greek literatures
483,Classical Greek dictionaries
882,Classical Greek dramatic poetry & drama
883,Classical Greek epic poetry & fiction
482,Classical Greek etymology
485,Classical Greek grammar
887,Classical Greek humor & satire
886,Classical Greek letters
884,Classical Greek lyric poetry
888,Classical Greek miscellaneous writings
881,Classical Greek poetry
885,Classical Greek speeches
488,Classical Greek usage
481,Classical Greek writing & phonology
473,Classical Latin dictionaries
472,Classical Latin etymology
475,Classical Latin grammar
